--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
043.562  000.066  000.066: require('mason-core.result')
043.659  000.036  000.036: require('mason-core.async.uv')
043.667  000.102  000.066: require('mason-core.fs')
043.689  000.402  000.082: require('mason-registry.installer')
043.854  000.046  000.046: require('mason-core.optional')
044.393  000.133  000.133: require('mason-core.process')
044.483  000.085  000.085: require('mason-core.spawn')
044.488  000.577  000.359: require('mason-core.installer.managers.powershell')
044.493  000.637  000.060: require('mason-core.fetch')
044.554  000.057  000.057: require('mason-core.providers')
044.829  000.105  000.105: require('mason-core.purl')
044.839  000.173  000.068: require('mason-core.package.AbstractPackage')
045.146  000.105  000.105: require('mason-core.installer.compiler.expr')
045.158  000.185  000.080: require('mason-core.installer.compiler.link')
045.691  000.147  000.147: require('mason-core.installer.context.InstallContextCwd')
045.825  000.127  000.127: require('mason-core.installer.context.InstallContextFs')
045.940  000.111  000.111: require('mason-core.installer.context.InstallContextSpawn')
046.086  000.140  000.140: require('mason-core.receipt')
046.124  000.715  000.190: require('mason-core.installer.context')
046.128  000.805  000.090: require('mason-core.installer')
046.167  000.941  000.136: require('mason-core.installer.managers.std')
046.171  001.011  000.070: require('mason-core.installer.compiler.schemas')
046.276  000.103  000.103: require('mason-core.installer.compiler.util')
046.326  001.420  000.121: require('mason-core.installer.compiler')
046.508  000.178  000.178: require('mason-core.installer.linker')
046.519  001.679  000.080: require('mason-core.installer.InstallRunner')
046.662  000.140  000.140: require('mason-core.installer.UninstallRunner')
046.681  002.081  000.090: require('mason-core.package')
046.689  002.132  000.051: require('mason-registry.sources.util')
046.714  002.970  000.099: require('mason-registry.sources.github')
053.175  000.020  000.020: require('vim.F')
053.410  000.070  000.070: require('mason-lspconfig.mappings')
053.417  000.233  000.163: require('mason-lspconfig.features.automatic_enable')
065.034  000.216  000.216: require('vim.lsp.log')
065.921  000.876  000.876: require('vim.lsp.protocol')
066.258  000.327  000.327: require('vim.lsp.util')
066.469  000.099  000.099: require('vim.lsp.sync')
066.479  000.213  000.113: require('vim.lsp._changetracking')
066.791  000.109  000.109: require('vim.lsp._transport')
066.878  000.373  000.264: require('vim.lsp.rpc')
067.055  002.534  000.529: require('vim.lsp')
076.650  000.077  000.077: require('mason-lspconfig.lsp.elixirls')
079.643  000.063  000.063: require('mason-lspconfig.notify')
079.679  000.207  000.144: require('mason-lspconfig.api.command')
080.130  000.090  000.090: sourcing /usr/share/nvim/runtime/plugin/editorconfig.lua
080.140  000.133  000.043: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
080.306  000.091  000.091: sourcing /usr/share/nvim/runtime/plugin/man.lua
080.313  000.157  000.066: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
